X,Y,ID,OBJECTID,TYPE,SOURCE,DATE_,CONTROL,LOCATION,COLOR,LADDER,Primary_St,Cross_Stre,CrossType,TOOLTIP
-118.438803065975165,34.022618018349483,17497,29847,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.434204766690129,34.025051681455693,17498,29848,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.434044531105243,34.024977000276699,17499,29849,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.434052885501899,34.024846071040699,17500,29850,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.434198424619851,34.024900715272025,17501,29851,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.431509236729752,34.026363080942424,17502,29852,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.431322886530737,34.026314824206693,17503,29853,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.43135573826396,34.026169112625823,17504,29854,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.431547639628647,34.026214660188742,17505,29855,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.430497674424274,34.026525671636328,17506,29856,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.429456008469302,34.02693605570272,17507,29857,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.428731295350616,34.027471868391849,17508,29858,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.428492727186196,34.027435077215955,17509,29859,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.428576727781859,34.02727653632067,17510,29860,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.428799020678539,34.027313844017925,17511,29861,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.427177541648831,34.025748589523126,17512,29862,3,1,,2,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.427264766747214,34.025618532941444,17513,29863,3,1,2006-01-01T00:00:00.000Z,4,135,1,1,Sepulveda Bl,Clover Av,Yellow Uncontrolled Crosswalk,Yellow Uncontrolled Crosswalk
-118.41439310347711,33.992602509240861,17514,29864,3,1,,1,135,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
